lineage,episode,TF,p_value,genes_in_lf,n_genes_in_lf
GC,Ep4,CDC5L,0.0035458884695751,"ARNTL2, MZB1, TNFAIP8, UBAC2",4
GC,Ep1,CREB3L2,0.0091504791158477,"FNDC3A, HSP90B1, LMAN1, SSR1, TRAM1, TXNDC5",6
GC,Ep1,IKZF3,0.0021945394724997,"ANKRD28, CD74, PIKFYVE, RNF213",4
GC,Ep3,IRF7,0.0051851279574807,"B2M, CEP128",2
GC,Ep4,IRF7,0.0018080193061612,"B2M, CEP128",2
GC,Ep4,MEF2C,0.0002201999796507,"IRF4, SEL1L3, SLA, TNFAIP8",4
GC,Ep4,POU2F1,0.0069403902392461,"CCSER2, DEK, EEA1, IRF4, MAPK1, SLC25A13",6
GC,Ep3,USF2,0.0015204441077491,"FNDC3A, HSP90B1, LMAN1, RNF213, SSR1, SUB1, TRAM1",7
GC,Ep4,USF2,0.004209745512358,"FNDC3A, HSP90B1, LMAN1, RNF213, SSR1, SUB1, TRAM1",7
PB,Ep1,CREB3L2,0.0002198116968521,"FNDC3A, HSP90B1, LMAN1, SSR1, TRAM1",5
PB,Ep2,CREB3L2,0.001733525067264,"FNDC3A, HSP90B1, LMAN1, SSR1, TRAM1",5
PB,Ep3,CREB3L2,2.625065788364471e-06,"HSP90B1, LMAN1, SSR1, TRAM1",4
PB,Ep1,IRF1,0.002501296178442,"RNF213, UBAC2",2
PB,Ep2,IRF7,0.0022789312757078,"B2M, CEP128, DEK",3
PB,Ep4,IRF8,0.0014967569513684,"CEP128, PRDM1, RNF213",3
PB,Ep4,IRF9,0.0014967569513684,"B2M, CEP128, RNF213",3
PB,Ep2,MAX,0.0028819370254683,"HSP90B1, LMAN1, SSR1",3
PB,Ep4,MEF2A,0.0016810489602206,"CDK6, SEL1L3, SLA",3
PB,Ep3,MEF2C,3.613330124274286e-05,"IGHM, IRF4, PDE4D, SEL1L3",4
PB,Ep3,TEAD2,0.000946114794126,"GLCCI1, PAX5",2
PB,Ep4,TEAD2,0.0008305664969039,"GLCCI1, PAX5",2
PB,Ep3,TFEC,0.0003071152477426,"HSP90B1, PRDM1, SUB1",3
